s,a,dis,motion_one,motion_two,motion_three,motion_four,motion_five,motion_six,distanceToFootball,position_encoded,nearestTeammatePosition_encoded,orientation_encoded,nearestDefenderPosition_encoded,distanceToDefender,distanceToTeammate,Predicted Probability,Predicted Class
2.52,2.11,0.24,0.0,0.0,0.0,0.0,0.0,1.0,6.794130804680947,0,11,4,4,8.462156935439092,0.8062257748298579,0.4890238,0
2.66,1.42,0.25,0.0,0.0,0.0,0.0,0.0,1.0,6.669791054262558,0,11,4,4,8.33935848851696,0.8745856161634471,0.48245284,0
2.75,0.89,0.27,0.0,0.0,0.0,0.0,0.0,1.0,6.5406125104396775,0,11,4,4,8.213647180150847,0.9404786015641136,0.46684486,0
2.76,0.59,0.27,0.0,0.0,0.0,0.0,0.0,1.0,6.4143363865093805,0,11,4,4,8.099098715289253,1.008464178838297,0.45516324,0
2.8,0.57,0.28,0.0,0.0,0.0,0.0,0.0,1.0,6.293372293665108,0,11,2,4,7.964923100695951,1.0599056561788873,0.48009065,0
2.75,0.77,0.28,0.0,0.0,0.0,0.0,0.0,1.0,6.164163348747373,0,11,2,4,7.80067945758573,1.125388821696752,0.48424664,0
2.7,0.86,0.27,0.0,0.0,0.0,0.0,0.0,1.0,6.049339555490215,0,11,2,4,7.618411908002882,1.1827087553578022,0.48546568,0
2.61,0.94,0.27,0.0,0.0,0.0,0.0,0.0,1.0,5.953184723289767,0,11,2,4,7.4198247957751695,1.2445481107614913,0.48696193,0
2.52,1.03,0.26,0.0,0.0,0.0,0.0,0.0,1.0,5.855912197601411,0,11,2,4,7.194616042569615,1.2907362240210025,0.48770648,0
2.46,0.98,0.25,0.0,0.0,0.0,0.0,0.0,1.0,5.768050535702956,0,11,2,4,6.958649294223694,1.3382077566656085,0.4888496,0
2.38,0.99,0.24,0.0,0.0,0.0,0.0,0.0,1.0,5.6836789415867335,0,11,2,4,6.7001865645666925,1.3793114224133691,0.49064133,0
2.27,1.09,0.23,0.0,0.0,0.0,0.0,0.0,1.0,5.609724206792243,0,11,2,4,6.454401598909077,1.4142842712835353,0.49317214,0
2.21,0.95,0.23,0.0,0.0,0.0,0.0,0.0,1.0,5.544871962284281,0,11,2,4,6.220434068455356,1.4417003849621441,0.49468395,0
2.15,0.91,0.22,0.0,0.0,0.0,0.0,0.0,1.0,5.488043436241003,0,11,2,4,5.980652138354143,1.4801351289662714,0.49566716,0
2.1,0.74,0.21,0.0,0.0,0.0,0.0,0.0,1.0,5.438696482384506,0,11,2,4,5.759513868374663,1.5101324445226667,0.49195543,0
2.07,0.61,0.21,0.0,0.0,0.0,0.0,0.0,1.0,5.398075399398326,0,11,4,4,5.560728369557353,1.5615697230671441,0.45372427,0
2.0,0.65,0.2,0.0,0.0,0.0,0.0,0.0,1.0,5.3764282554626615,0,11,4,4,5.378773094303204,1.5925451327984388,0.4550533,0
1.96,0.6,0.2,0.0,0.0,0.0,0.0,0.0,1.0,5.333439740995513,0,11,4,4,5.191724183737041,1.6152399202595251,0.45218754,0
1.92,0.59,0.2,0.0,0.0,0.0,0.0,0.0,1.0,5.319631568943657,0,11,2,4,5.020537819795797,1.6577394246382615,0.48319277,0
1.94,0.41,0.2,0.0,0.0,0.0,0.0,0.0,1.0,5.323531945969842,0,11,2,4,4.872381347965287,1.7084788555905508,0.46804124,0
2.0,0.31,0.21,0.0,0.0,0.0,0.0,0.0,1.0,5.336252634419159,0,11,2,4,4.733846216344592,1.7724841325100795,0.45404008,0
1.92,0.37,0.19,0.0,0.0,0.0,0.0,0.0,1.0,5.340047562776756,0,11,2,4,4.611518188189223,1.8159295140505887,0.45603442,0
1.89,0.4,0.19,0.0,0.0,0.0,0.0,0.0,1.0,5.354942403104319,0,11,2,4,4.471107245414718,1.8611824198610947,0.454572,0
1.78,0.7,0.18,0.0,0.0,0.0,0.0,0.0,1.0,5.375686773950534,0,11,2,4,4.3510918170041,1.8955210365490553,0.4709979,0
1.67,0.89,0.17,0.0,0.0,0.0,0.0,0.0,1.0,5.405674509454489,0,11,2,4,4.232682364647738,1.9400257730246788,0.480144,0
1.5,1.15,0.15,0.0,0.0,0.0,0.0,0.0,1.0,5.434576016675398,0,11,3,4,4.1200121359044575,1.9632880583347923,0.47990188,0
1.41,1.15,0.15,0.0,0.0,0.0,0.0,0.0,1.0,5.483394583842634,0,11,3,4,4.028262652807045,2.004445060359597,0.48056832,0
1.31,1.17,0.14,0.0,0.0,0.0,0.0,0.0,1.0,5.535432760246128,0,11,3,4,3.951265620026075,2.067123605399543,0.4806311,0
1.21,1.16,0.13,0.0,0.0,0.0,0.0,0.0,1.0,5.586458233349812,0,11,3,4,3.89217163033698,2.1162466774929602,0.48038003,0
1.06,1.14,0.11,0.0,0.0,0.0,0.0,0.0,1.0,5.642172931189043,0,11,3,4,3.8472457680787717,2.178921751692792,0.48057213,0
0.89,1.18,0.09,0.0,0.0,0.0,0.0,0.0,1.0,5.682623970234006,0,11,3,4,3.8194371313061297,2.2280484734403814,0.48307896,0
0.71,1.3,0.08,0.0,0.0,0.0,0.0,0.0,1.0,5.719195777004432,0,11,3,3,3.6540662281901715,2.2692069099136827,0.49182886,0
0.47,1.8,0.05,0.0,0.0,0.0,0.0,0.0,1.0,5.717429552533494,0,11,3,3,3.4169577111811,2.288864347225497,0.5008488,1
0.4,1.98,0.04,0.0,0.0,0.0,0.0,0.0,1.0,5.708537549735313,0,11,3,3,3.203388830598002,2.288864347225497,0.50370836,1
0.5,2.13,0.05,0.0,0.0,0.0,0.0,0.0,1.0,5.670599719160112,0,11,3,3,3.005079033902438,2.25938044605153,0.5039983,1
0.65,1.96,0.06,0.0,0.0,0.0,0.0,0.0,1.0,5.607718003654255,0,11,3,3,2.8383269720030517,2.1967248348393555,0.49990755,0
0.75,1.53,0.07,0.0,0.0,0.0,0.0,0.0,1.0,5.544844564284686,0,11,3,3,2.702665351093253,2.143944961980133,0.4921879,0
0.77,1.03,0.07,0.0,0.0,0.0,0.0,0.0,1.0,5.472202596657224,0,11,3,3,2.6049184248263844,2.061674077054859,0.48974177,0
0.68,0.57,0.06,0.0,0.0,0.0,0.0,0.0,1.0,5.413557163100254,0,11,3,3,2.544896854491347,1.9958206332233401,0.48461646,0
0.61,0.55,0.06,0.0,0.0,0.0,0.0,0.0,1.0,5.354941741741551,0,11,3,3,2.512866888635362,1.927615106809449,0.4974539,0
0.54,0.76,0.05,0.0,0.0,0.0,0.0,0.0,1.0,5.298537618022484,0,11,2,3,2.495616156383023,1.8696791168540117,0.5622566,1
0.48,0.82,0.05,0.0,0.0,0.0,0.0,0.0,1.0,5.251980649101573,0,11,2,3,2.506890504190406,1.8239517537478886,0.5817923,1
0.44,0.63,0.05,0.0,0.0,0.0,0.0,0.0,1.0,5.2129934463222485,0,11,2,3,2.5090635703385464,1.8009997223764365,0.5893588,1
0.39,0.53,0.04,0.0,0.0,0.0,0.0,0.0,1.0,5.166555963147663,0,11,2,3,2.540255892621846,1.7600000000000016,0.6009806,1
0.39,0.36,0.04,0.0,0.0,0.0,0.0,0.0,1.0,5.127621325058824,0,11,2,3,2.5662813563598204,1.740459709387151,0.60227835,1
0.37,0.37,0.04,0.0,0.0,0.0,0.0,0.0,1.0,5.098431170746938,0,11,2,3,2.590463279029445,1.7223530416264827,0.60965997,1
0.39,0.35,0.04,0.0,0.0,0.0,0.0,0.0,1.0,5.0474746543256,0,11,2,3,2.6215453457836704,1.6935760980835766,0.61560804,1
0.39,0.29,0.04,0.0,0.0,0.0,0.0,0.0,1.0,5.025702339397292,0,11,2,3,2.6388254963146043,1.665082580534671,0.6206385,1
0.36,0.29,0.03,0.0,0.0,0.0,0.0,0.0,1.0,4.994205054031729,0,11,2,3,2.6401704490430116,1.6360012224934297,0.6295966,1
0.39,0.27,0.04,0.0,0.0,0.0,0.0,0.0,1.0,4.95068523773549,0,11,2,3,2.6420068130116543,1.595305613354381,0.6400929,1
0.42,0.28,0.04,0.0,0.0,0.0,0.0,0.0,1.0,4.897448371744822,0,11,2,3,2.636436989575134,1.5446682491719697,0.65193886,1
0.4,0.28,0.04,0.0,0.0,0.0,0.0,0.0,1.0,4.863712639314678,0,11,2,3,2.60342082652804,1.512679741386128,0.66392404,1
0.4,0.25,0.04,0.0,0.0,0.0,0.0,0.0,1.0,4.830010899912772,0,11,2,3,2.5505489605181184,1.4908386901338444,0.6711898,1
0.42,0.17,0.04,0.0,0.0,0.0,0.0,0.0,1.0,4.784402292803116,0,11,2,3,2.5033777182039505,1.4500344823486089,0.6791846,1
0.36,0.23,0.03,0.0,0.0,0.0,0.0,0.0,1.0,4.770323855684497,0,11,2,3,2.4440335513245284,1.4405554484295302,0.6891022,1
