gameId,playId,displayName,max,min,max_min_disparity
2022103007,1507,Jonnu Smith,0.94280833,0.009401419,0.9334069
2022103003,951,Brock Wright,0.9925474,0.07200304,0.9205444
2022103003,951,T.J. Hockenson,0.9906601,0.07801202,0.9126481
2022110603,915,Marcedes Lewis,0.9180353,0.046917982,0.87111735
2022110600,2782,Parker Hesse,0.93504703,0.1139973,0.82104975
2022103002,1456,Dalton Schultz,0.96351063,0.18851024,0.7750004
2022110606,2533,Quintin Morris,0.8410409,0.073771775,0.76726913
2022110604,3388,Dan Arnold,0.95184547,0.18675247,0.76509297
2022102700,1126,Isaiah Likely,0.93364036,0.18634368,0.7472967
2022110607,3405,Logan Thomas,0.91357815,0.18104391,0.7325342
2022110610,2959,Geoff Swaim,0.8932984,0.16163735,0.731661
2022110604,107,Foster Moreau,0.9155132,0.18861546,0.7268978
2022102308,671,Brevin Jordan,0.8931618,0.16637923,0.72678256
2022103000,3522,Greg Dulcich,0.8237255,0.09960914,0.7241164
2022102308,3095,Jordan Akins,0.81663007,0.094954304,0.72167575
2022103012,1404,Dawson Knox,0.9209817,0.20839092,0.7125908
2022100900,175,Tyler Davis,0.83797354,0.12728177,0.71069175
2022091112,1082,Robert Tonyan,0.9143831,0.20877644,0.7056067
2022102310,2398,Travis Kelce,0.9643164,0.2626737,0.70164275
2022102700,2849,Isaiah Likely,0.86820257,0.17130862,0.69689393
2022103012,2331,Dawson Knox,0.8641216,0.17657846,0.68754315
2022103008,1143,Grant Calcaterra,0.84033006,0.15743014,0.68289995
2022102310,1573,George Kittle,0.8594336,0.1774267,0.6820069
2022110602,1610,Tommy Tremble,0.96979445,0.29038972,0.67940474
2022102308,1231,O.J. Howard,0.854939,0.17649637,0.6784426
2022103005,451,Stephen Anderson,0.9295919,0.25342804,0.67616385
2022110607,2103,T.J. Hockenson,0.9408665,0.26513207,0.6757344
2022102700,3610,Cade Otton,0.93832713,0.2626428,0.67568433
2022110601,1169,Cole Kmet,0.94552267,0.27332947,0.67219317
2022103010,1267,Tyler Higbee,0.8040494,0.1328198,0.6712296
2022103100,626,Mitchell Wilcox,0.7428987,0.076840006,0.6660587
2022103011,2104,Chris Myarick,0.8784418,0.21272178,0.66572005
2022110609,2717,Tyler Higbee,0.84124684,0.17617133,0.66507554
2022110600,122,Feleipe Franks,0.9821577,0.31825835,0.66389936
2022102310,1394,Travis Kelce,0.9468377,0.28639638,0.66044134
2022102700,2480,Josh Oliver,0.96952736,0.30928278,0.6602446
2022110606,3396,C.J. Uzomah,0.8491421,0.18992758,0.6592145
2022110700,1532,Isaiah Likely,0.9843957,0.3268718,0.6575239
2022103001,2533,Kyle Pitts,0.90911514,0.25450808,0.65460706
2022103005,3225,Irv Smith,0.8268372,0.17351916,0.65331805
2022103000,112,Greg Dulcich,0.8699216,0.2166222,0.65329945
2022103001,1221,Giovanni Ricci,0.87968737,0.23197822,0.64770913
2022110700,242,Isaiah Likely,0.9148091,0.27027592,0.64453316
2022102309,3013,Will Dissly,0.85082966,0.207607,0.6432227
2022103007,752,Hunter Henry,0.88149023,0.23982199,0.64166826
2022110610,2959,Kevin Rader,0.9096319,0.26852477,0.64110714
2022103002,2270,Cole Kmet,0.917988,0.27845278,0.6395352
2022100900,505,Daniel Bellinger,0.87160635,0.2325752,0.6390312
2022102400,2281,Trevon Wesco,0.953984,0.3166739,0.63731015
2022110606,354,Dawson Knox,0.8358537,0.19967109,0.6361826
2022103011,2508,Noah Fant,0.8962677,0.26123694,0.63503075
2022102307,1404,C.J. Uzomah,0.9360066,0.30278718,0.6332194
2022103011,3225,Noah Fant,0.97775877,0.34462255,0.6331362
2022102308,1231,Jordan Akins,0.9337728,0.30210686,0.63166595
2022110600,1370,MyCole Pruitt,0.9195551,0.2884654,0.6310897
2022102400,1049,Cole Kmet,0.9611663,0.33060518,0.6305611
2022103006,757,Juwan Johnson,0.9371557,0.30982196,0.62733376
2022103003,1129,T.J. Hockenson,0.73816884,0.11157233,0.6265965
2022103005,3969,Zach Ertz,0.8497897,0.22387037,0.62591934
2022102307,938,Greg Dulcich,0.7944809,0.16865337,0.62582755
2022103012,61,Dawson Knox,0.78123736,0.15728652,0.62395084
2022102309,64,Noah Fant,0.7149251,0.09164084,0.6232843
