gameId,playId,nflId_x,displayName,frameId,frameType,time,club,playDirection,x,y,s,a,dis,o,dir,event,nflId_y,position,wasRunningRoute,motion_one,motion_two,motion_three,motion_four,motion_five,motion_six,didBlock,distanceToFootball,distanceToTeammate,nearestTeammatePosition,distanceToDefender,nearestDefenderPosition,orientation,position_encoded,nearestTeammatePosition_encoded,orientation_encoded,nearestDefenderPosition_encoded,prediction
2022110603,915,30842,Marcedes Lewis,1,BEFORE_SNAP,2022-11-06 18:45:10.2,GB,left,25.89,27.55,2.52,1.39,0.24,267.29,303.31,huddle_break_offense,30842.0,TE,0,0.0,0.0,0.0,0.0,0.0,0.0,1,7.033861737161264,0.49396356140913944,T,15.862257090338689,FS,Forward,0,6,1,4,0.10555263
2022110603,915,30842,Marcedes Lewis,2,BEFORE_SNAP,2022-11-06 18:45:10.3,GB,left,25.68,27.69,2.55,0.45,0.25,268.11,302.43,0,30842.0,TE,0,0.0,0.0,0.0,0.0,0.0,0.0,1,6.874444587383858,0.5813776741499471,T,15.686532440281376,FS,Forward,0,6,1,4,0.11163781
2022110603,915,30842,Marcedes Lewis,3,BEFORE_SNAP,2022-11-06 18:45:10.4,GB,left,25.48,27.83,2.47,0.58,0.25,269.6,302.64,0,30842.0,TE,0,0.0,0.0,0.0,0.0,0.0,0.0,1,6.72970220204513,0.7011419257183233,T,15.52121773573195,FS,Forward,0,6,1,4,0.12680455
2022110603,915,30842,Marcedes Lewis,4,BEFORE_SNAP,2022-11-06 18:45:10.5,GB,left,25.27,27.96,2.38,1.05,0.24,271.01,302.67,0,30842.0,TE,0,0.0,0.0,0.0,0.0,0.0,0.0,1,6.5681117572918195,0.7840918313565077,T,15.347507941030686,FS,Forward,0,6,1,4,0.14507207
2022110603,915,30842,Marcedes Lewis,5,BEFORE_SNAP,2022-11-06 18:45:10.6,GB,left,25.07,28.08,2.24,1.41,0.23,271.65,300.96,0,30842.0,TE,0,0.0,0.0,0.0,0.0,0.0,0.0,1,6.4273941160699755,0.8528774824088138,T,15.17475864717459,FS,Forward,0,6,1,4,0.16564144
2022110603,915,30842,Marcedes Lewis,6,BEFORE_SNAP,2022-11-06 18:45:10.7,GB,left,24.89,28.2,2.12,1.41,0.22,271.65,300.85,0,30842.0,TE,0,0.0,0.0,0.0,0.0,0.0,0.0,1,6.300872584389164,0.9002221947941504,T,15.022609626825828,FS,Forward,0,6,1,4,0.18520717
2022110603,915,30842,Marcedes Lewis,7,BEFORE_SNAP,2022-11-06 18:45:10.8,GB,left,24.71,28.31,2.04,1.24,0.21,270.49,299.69,0,30842.0,TE,0,0.0,0.0,0.0,0.0,0.0,0.0,1,6.179336261228499,0.9408506789071237,T,14.881088669852083,FS,Forward,0,6,1,4,0.2061125
2022110603,915,30842,Marcedes Lewis,8,BEFORE_SNAP,2022-11-06 18:45:10.9,GB,left,24.53,28.4,1.96,1.09,0.2,270.49,298.38,0,30842.0,TE,0,0.0,0.0,0.0,0.0,0.0,0.0,1,6.04152251955156,0.9563472172804177,T,14.716089833919881,DE,Forward,0,6,1,2,0.22161211
2022110603,915,30842,Marcedes Lewis,9,BEFORE_SNAP,2022-11-06 18:45:11,GB,left,24.36,28.5,1.9,0.9,0.19,271.23,297.04,0,30842.0,TE,0,0.0,0.0,0.0,0.0,0.0,0.0,1,5.939326316572148,0.9982484660644363,T,14.551044636039022,DE,Forward,0,6,1,2,0.24352667
2022110603,915,30842,Marcedes Lewis,10,BEFORE_SNAP,2022-11-06 18:45:11.1,GB,left,24.19,28.58,1.83,0.91,0.19,271.23,294.58,0,30842.0,TE,0,0.0,0.0,0.0,0.0,0.0,0.0,1,5.832220818304323,1.0139033484509234,T,14.376348632389243,DE,Forward,0,6,1,2,0.2639052
